data inicio,data termino,nome do evento,Tipo,Estado que ocorrerá,Impacto para a aviação,Dia da semana que iniciará,Dias restantes para o evento,Se terá possível emenda
2025-03-10,2025-03-10,Dia do Super Mario,Data Comemorativa,Todos,Baixo,Monday,-145,Não
2025-03-12,2025-03-12,Dia Mundial Contra a Cibercensura,Data Comemorativa,Todos,Baixo,Wednesday,-143,Não
2025-03-12,2025-03-12,Dia do Bibliotecário,Data Comemorativa,Todos,Baixo,Wednesday,-143,Não
2025-03-12,2025-03-12,Aniversário de Recife,Data Comemorativa,Todos,Baixo,Wednesday,-143,Não
2025-03-12,2025-03-12,Dia Mundial do Glaucoma,Data Comemorativa,Todos,Baixo,Wednesday,-143,Não
2025-03-13,2025-03-13,Dia Mundial do Rim,Data Comemorativa,Todos,Baixo,Thursday,-142,Sim
2025-03-13,2025-03-13,Dia do Conservacionismo,Data Comemorativa,Todos,Baixo,Thursday,-142,Sim
2025-03-14,2025-03-14,Dia do Pi,Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-14,2025-03-14,Dia do Vendedor de Livros,Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-14,2025-03-14,Dia da Incontinência Urinária,Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-14,2025-03-14,Dia Nacional dos Animais,Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-14,2025-03-14,Dia Mundial do Sono,Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-14,2025-03-14,Dia Internacional de Luta contra as Barragens,Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-14,2025-03-14,Dia Internacional da Matemática,Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-14,2025-03-14,Dia de Salvar uma Aranha,Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-14,2025-03-14,1º Eclipse Lunar de 2025 - Eclipse Total (visível no Brasil),Data Comemorativa,Todos,Baixo,Friday,-141,Não
2025-03-15,2025-03-15,Dia da Escola,Data Comemorativa,Todos,Baixo,Saturday,-140,Não
2025-03-15,2025-03-15,Dia Mundial do Consumidor,Data Comemorativa,Todos,Baixo,Saturday,-140,Não
2025-03-15,2025-03-15,Dia de São Longuinho,Data Comemorativa,Todos,Baixo,Saturday,-140,Não
2025-03-15,2025-03-15,Dia Internacional de Combate à Islamofobia,Data Comemorativa,Todos,Baixo,Saturday,-140,Não
2025-03-15,2025-03-15,Dia das Confissões Sinceras,Data Comemorativa,Todos,Baixo,Saturday,-140,Não
2025-03-16,2025-03-16,Dia Nacional de Conscientização sobre as Mudanças Climáticas,Data Comemorativa,Todos,Baixo,Sunday,-139,Não
2025-03-16,2025-03-16,Dia Nacional do Ouvidor,Data Comemorativa,Todos,Baixo,Sunday,-139,Não
2025-03-16,2025-03-16,Dia do Agente Penitenciário Federal,Data Comemorativa,Todos,Baixo,Sunday,-139,Não
